dataset,backend,dl_mode,threads,seqlen,batch_size,elapsed_ns,rss_bytes
1KGP,svar,none,32,1048576,8192,93065390329,40198840320
1KGP,svar,none,32,1048576,8192,93609696874,46079254528
1KGP,svar,none,32,1048576,8192,94131729952,50118369280
1KGP,svar,none,32,1048576,8192,94655628276,38657040384
1KGP,svar,none,32,1048576,8192,95261704318,46114512896
1KGP,svar,none,32,1048576,8192,95847587652,33494777856
1KGP,svar,none,32,1048576,8192,96389330465,40617517056
1KGP,svar,none,32,1048576,8192,96970648261,46149804032
1KGP,svar,none,32,1048576,8192,97492674464,49836597248
1KGP,svar,none,32,1048576,8192,98009411514,37516394496
1KGP,svar,none,32,1048576,8192,98588774395,44278132736
1KGP,svar,none,32,1048576,8192,99110685249,47996383232
1KGP,svar,none,32,1048576,8192,99633721418,34721701888
1KGP,svar,none,32,1048576,8192,100205858814,41860403200
1KGP,svar,none,32,1048576,8192,100776497820,47331872768
1KGP,svar,none,32,1048576,8192,101345587711,33868152832
1KGP,svar,none,32,1048576,8192,101899618196,40892542976
1KGP,svar,none,32,1048576,8192,102481382262,47899103232
1KGP,svar,none,32,1048576,8192,103054472759,35877687296
1KGP,svar,none,32,1048576,8192,103657524426,43603501056
1KGP,svar,none,32,1048576,8192,104237073502,49993523200
1KGP,svar,none,32,1048576,8192,104759515901,37583605760
1KGP,svar,none,32,1048576,8192,105332012109,44620242944
1KGP,svar,none,32,1048576,8192,105857061429,48887840768
1KGP,svar,none,32,1048576,8192,106378762728,35621429248
1KGP,svar,none,32,1048576,8192,106961377683,42903744512
1KGP,svar,none,32,1048576,8192,107542131751,49306349568
1KGP,svar,none,32,1048576,8192,108063858243,36019183616
1KGP,svar,none,32,1048576,8192,108656074309,43571232768
1KGP,svar,none,32,1048576,8192,109233537818,49680138240
1KGP,svar,none,32,1048576,8192,109755375320,36798693376
1KGP,svar,none,32,1048576,8192,110336705285,44105334784
1KGP,svar,none,32,1048576,8192,110911713783,50656837632
1KGP,svar,none,32,1048576,8192,111433741449,38232621056
1KGP,svar,none,32,1048576,8192,112009033039,45632147456
1KGP,svar,none,32,1048576,8192,112593727469,51139080192
1KGP,svar,none,32,1048576,8192,113115207713,39348871168
1KGP,svar,none,32,1048576,8192,113691198473,46426886144
1KGP,svar,none,32,1048576,8192,114215022559,50359046144
1KGP,svar,none,32,1048576,8192,114736802026,37725757440
1KGP,svar,none,32,1048576,8192,115302112128,45092999168
1KGP,svar,none,32,1048576,8192,115899231254,51629821952
1KGP,svar,none,32,1048576,8192,116425164520,39991758848
1KGP,svar,none,32,1048576,8192,116993519574,47049654272
1KGP,svar,none,32,1048576,8192,117517879554,51805995008
1KGP,svar,none,32,1048576,8192,118039308127,39734423552
1KGP,svar,none,32,1048576,8192,118605367554,46848221184
1KGP,svar,none,32,1048576,8192,119185547581,51667320832
1KGP,svar,none,32,1048576,8192,119706899279,39558164480
1KGP,svar,none,32,1048576,8192,120280391542,46691667968
1KGP,svar,none,32,1048576,8192,120822277532,51353636864
1KGP,svar,none,32,1048576,8192,121343489632,38348488704
1KGP,svar,none,32,1048576,8192,121914998089,45391503360
1KGP,svar,none,32,1048576,8192,122468979992,50250604544
1KGP,svar,none,32,1048576,8192,122990059902,36793524224
1KGP,svar,none,32,1048576,8192,123569020094,44132417536
1KGP,svar,none,32,1048576,8192,124142891563,49673093120
1KGP,svar,none,32,1048576,8192,124664392016,53309554688
