dataset,threads,seqlen,batch_size,throughput (MiB/s)
1kgp,1,16384,128,1890.2733249533364
1kgp,1,16384,128,1898.5206322847664
1kgp,1,16384,128,1847.8073782530378
1kgp,1,16384,256,1967.5592688577826
1kgp,1,16384,256,1960.8968388451356
1kgp,1,16384,256,2203.2632449524444
1kgp,1,16384,256,3036.035086515193
1kgp,1,16384,256,2845.9742350897313
1kgp,1,16384,512,2185.769805017238
1kgp,1,16384,512,2071.4922070478688
1kgp,1,16384,512,2058.2129214875645
1kgp,1,16384,512,2038.2763599727534
1kgp,1,16384,512,2031.1739873013262
1kgp,1,131072,1,911.4738174000865
1kgp,1,131072,1,858.7612062012694
1kgp,1,131072,1,929.9501945802331
1kgp,1,131072,1,942.7282341230398
1kgp,1,131072,1,948.9855023359706
1kgp,1,131072,2,1272.3004284507724
1kgp,1,131072,2,1267.2631518415196
1kgp,1,131072,2,1299.2637356666976
1kgp,1,131072,2,1295.2789905380835
1kgp,1,131072,2,1278.2966057955302
1kgp,1,131072,4,1663.3172363481603
1kgp,1,131072,4,1667.8592407976162
1kgp,1,131072,4,1672.6239335837174
1kgp,1,131072,4,1861.983653651527
1kgp,1,131072,4,2095.3439391737993
1kgp,1,131072,8,1777.384006353706
1kgp,1,131072,8,1769.0672550336167
1kgp,1,131072,8,1781.708491066069
1kgp,1,131072,8,1786.1628124644901
1kgp,1,131072,8,1780.8848329522532
1kgp,1,131072,16,1993.311185699914
1kgp,1,131072,16,1980.4703734569835
1kgp,1,131072,16,2108.1419291626366
1kgp,1,131072,16,2842.6047206047274
1kgp,1,131072,16,3186.266172180307
1kgp,1,2048,16384,2687.594127169769
1kgp,1,2048,16384,2665.520101996584
1kgp,1,2048,16384,2646.251401695133
1kgp,1,2048,16384,2680.155849831308
1kgp,1,2048,16384,2657.900215236565
1kgp,1,131072,32,1973.3884687046236
1kgp,1,131072,32,1991.0522330658507
1kgp,1,131072,32,1989.1525281911963
1kgp,1,131072,32,1990.7074690002898
1kgp,1,131072,32,1975.8881967312354
1kgp,1,131072,64,2405.908786906617
1kgp,1,131072,64,2122.202636390954
1kgp,1,131072,64,2082.799299849779
1kgp,1,131072,64,2058.8072621163997
1kgp,1,131072,64,2062.942085340881
1kgp,1,1048576,1,1728.8536960777617
1kgp,1,1048576,1,1724.2183261933424
1kgp,1,1048576,1,1737.988071657178
1kgp,1,1048576,1,1734.4912240383799
1kgp,1,1048576,1,1730.316837807921
1kgp,1,1048576,2,1857.888297163951
1kgp,1,1048576,2,1867.6075382435713
1kgp,1,1048576,2,2033.4912566188939
1kgp,1,1048576,2,2600.7533185671264
1kgp,1,1048576,2,2982.946613688909
1kgp,1,16384,1024,1631.7378727539285
1kgp,1,16384,1024,1720.470290293331
1kgp,1,16384,1024,2123.1750277698425
1kgp,1,16384,1024,1853.022562550578
1kgp,1,16384,1024,1605.3959469357897
1kgp,1,1048576,4,1846.813062653406
1kgp,1,1048576,4,1838.7278049318916
1kgp,1,1048576,4,1849.5008672664117
1kgp,1,1048576,4,1853.3854865510064
1kgp,1,1048576,4,1865.8187566367505
1kgp,1,1048576,8,1942.2842182318577
1kgp,1,1048576,8,1943.4962564834425
1kgp,1,1048576,8,2197.1594169602126
1kgp,1,1048576,8,3753.212849815122
1kgp,1,1048576,8,3897.9589350193764
1kgp,2,2048,1,23.75716010657843
1kgp,2,2048,1,23.844665571422713
1kgp,2,2048,1,24.55735875837719
1kgp,2,2048,1,24.699849968414867
1kgp,2,2048,1,24.63549279044104
1kgp,2,2048,2,17.396245676180804
1kgp,2,2048,2,17.38504544981158
1kgp,2,2048,2,17.705116211859956
1kgp,2,2048,2,17.73901210972006
1kgp,2,2048,2,17.789643919428695
1kgp,1,16384,2048,2998.183706637061
