dataset_norm,mode,dl_mode,threads,seqlen,batch_size,v027,v061,ratio
1kgp,haps,none,4,1048576,512,4783.8191763815785,6683.627158914952,0.7157519506456437
1kgp,haps,none,16,1048576,512,6100.896044440795,21573.411379845325,0.282797001226263
1kgp,haps,none,32,1048576,512,13791.639331262642,40006.48843350242,0.34473506351817634
1kgp,haps,none,1,1048576,2048,1353.908656701627,1437.0761789922085,0.9421272695864286
1kgp,haps,none,4,1048576,2048,4905.799529116522,6399.390593648426,0.7666041722762891
1kgp,haps,none,16,1048576,2048,10872.096544705711,24587.689691525113,0.4421764175937647
1kgp,haps,none,32,1048576,2048,16963.83311194689,45106.569842558216,0.3760834213543201
1kgp,haps,none,1,1048576,8192,1466.3738148632779,2398.69780703911,0.6113207802000417
1kgp,haps,none,4,1048576,8192,4830.902199085053,6890.124157019771,0.7011342740701199
1kgp,haps,none,16,1048576,8192,8836.625578755653,32929.56637628744,0.2683492845845338
1kgp,haps,none,32,1048576,8192,10966.335462541783,47176.04763720406,0.23245557887501989
tcga-atac,haps,none,1,2048,2,6.435096508673757,49.90345440369635,0.12895092304866793
tcga-atac,haps,none,4,2048,2,6.0745712664807145,52.39890773311095,0.11592934908912583
tcga-atac,haps,none,16,2048,2,4.693893602423459,56.62261330843307,0.08289786232322088
tcga-atac,haps,none,32,2048,2,2.705473881146869,44.925264409505345,0.06022165738382257
tcga-atac,haps,none,1,2048,8,25.412946832626574,282.30767101525714,0.09001861954807862
tcga-atac,haps,none,4,2048,8,22.003949790715918,154.66345046055733,0.1422698751721398
tcga-atac,haps,none,16,2048,8,17.417922774322257,214.84608161046867,0.08107163343989768
tcga-atac,haps,none,32,2048,8,18.42528710167227,153.19703961056294,0.12027182214819931
tcga-atac,haps,none,1,2048,32,101.63344636182052,646.7218362207576,0.15715171603874542
tcga-atac,haps,none,4,2048,32,96.40927840819305,673.6220449401541,0.14312072939471307
tcga-atac,haps,none,16,2048,32,75.23525662636249,660.5537912546375,0.11389724443706958
tcga-atac,haps,none,32,2048,32,72.47126587453133,537.3908871232534,0.13485763828724856
tcga-atac,haps,none,1,2048,128,340.2608002989483,1274.3415557890676,0.2670091065878018
tcga-atac,haps,none,4,2048,128,364.88148239435895,1788.429785367204,0.20402337591321248
tcga-atac,haps,none,16,2048,128,281.5848333731674,2183.710230251184,0.12894789311894087
tcga-atac,haps,none,32,2048,128,276.337844678688,1983.9896626210004,0.13928391356315073
tcga-atac,haps,none,1,2048,512,839.0187613619503,1681.9557264371188,0.4988352238850192
tcga-atac,haps,none,4,2048,512,1056.9377244834136,4053.1204979231993,0.26077135506456905
tcga-atac,haps,none,16,2048,512,872.9181378212852,3284.5559845902358,0.26576442658205623
tcga-atac,haps,none,32,2048,512,947.3138741127638,5045.353854610623,0.18775965004854414
tcga-atac,haps,none,1,2048,2048,1432.0915136547114,2112.950211998927,0.6777686977772662
